2022-05-31 14:07:09 status unpacked base-passwd:arm64 3.5.44
2022-05-31 14:07:09 status unpacked base-passwd:arm64 3.5.44
2022-05-31 14:07:09 install bash:arm64 <none> 4.4.18-2ubuntu1
2022-05-31 14:07:09 status half-installed bash:arm64 4.4.18-2ubuntu1
2022-05-31 14:07:10 status unpacked bash:arm64 4.4.18-2ubuntu1
2022-05-31 14:07:10 status unpacked bash:arm64 4.4.18-2ubuntu1
2022-05-31 14:07:10 install bsdutils:arm64 <none> 1:2.31.1-0.4ubuntu3
2022-05-31 14:07:10 status half-installed bsdutils:arm64 1:2.31.1-0.4ubuntu3
2022-05-31 14:07:10 status unpacked bsdutils:arm64 1:2.31.1-0.4ubuntu3
2022-05-31 14:07:10 status unpacked bsdutils:arm64 1:2.31.1-0.4ubuntu3
2022-05-31 14:07:10 install coreutils:arm64 <none> 8.28-1ubuntu1
2022-05-31 14:07:10 status half-installed coreutils:arm64 8.28-1ubuntu1
2022-05-31 14:07:10 status unpacked coreutils:arm64 8.28-1ubuntu1
2022-05-31 14:07:10 status unpacked coreutils:arm64 8.28-1ubuntu1
2022-05-31 14:07:10 install dash:arm64 <none> 0.5.8-2.10
2022-05-31 14:07:10 status half-installed dash:arm64 0.5.8-2.10
2022-05-31 14:07:10 status unpacked dash:arm64 0.5.8-2.10
2022-05-31 14:07:10 status unpacked dash:arm64 0.5.8-2.10
2022-05-31 14:07:10 install debconf:all <none> 1.5.66
2022-05-31 14:07:10 status half-installed debconf:all 1.5.66
2022-05-31 14:07:10 status unpacked debconf:all 1.5.66
2022-05-31 14:07:10 status unpacked debconf:all 1.5.66
2022-05-31 14:07:10 install debianutils:arm64 <none> 4.8.4
2022-05-31 14:07:10 status half-installed debianutils:arm64 4.8.4
2022-05-31 14:07:10 status unpacked debianutils:arm64 4.8.4
2022-05-31 14:07:10 status unpacked debianutils:arm64 4.8.4
2022-05-31 14:07:10 install diffutils:arm64 <none> 1:3.6-1
2022-05-31 14:07:10 status half-installed diffutils:arm64 1:3.6-1
2022-05-31 14:07:10 status unpacked diffutils:arm64 1:3.6-1
2022-05-31 14:07:10 status unpacked diffutils:arm64 1:3.6-1
2022-05-31 14:07:10 upgrade dpkg:arm64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2022-05-31 14:07:10 status half-configured dpkg:arm64 1.19.0.5ubuntu2
2022-05-31 14:07:10 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2022-05-31 14:07:10 status half-installed dpkg:arm64 1.19.0.5ubuntu2
2022-05-31 14:07:10 status half-installed dpkg:arm64 1.19.0.5ubuntu2
2022-05-31 14:07:10 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2022-05-31 14:07:10 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2022-05-31 14:07:10 install e2fsprogs:arm64 <none> 1.44.1-1
2022-05-31 14:07:10 status half-installed e2fsprogs:arm64 1.44.1-1
2022-05-31 14:07:11 status unpacked e2fsprogs:arm64 1.44.1-1
2022-05-31 14:07:11 status unpacked e2fsprogs:arm64 1.44.1-1
2022-05-31 14:07:11 install fdisk:arm64 <none> 2.31.1-0.4ubuntu3
2022-05-31 14:07:11 status half-installed fdisk:arm64 2.31.1-0.4ubuntu3
2022-05-31 14:07:11 status unpacked fdisk:arm64 2.31.1-0.4ubuntu3
